ncore_per_instance,ninstances,use_all_nodes,use_logical_core,disable_numactl,disable_iomp,malloc,latency
1,1,True,False,False,False,tc,69.5544171333313
2,1,True,False,False,False,tc,39.553425312042236
3,1,True,False,False,False,tc,30.177347660064697
4,1,True,False,False,False,tc,24.35682773590088
5,1,True,False,False,False,tc,20.665602684020996
6,1,True,False,False,False,tc,17.921786308288574
7,1,True,False,False,False,tc,16.350069046020508
8,1,True,False,False,False,tc,15.309228897094727
9,1,True,False,False,False,tc,14.995787143707275
10,1,True,False,False,False,tc,13.9762282371521
11,1,True,False,False,False,tc,13.125286102294922
12,1,True,False,False,False,tc,12.961246967315674
13,1,True,False,False,False,tc,13.630318641662598
14,1,True,False,False,False,tc,13.021764755249023
15,1,True,False,False,False,tc,12.339081764221191
16,1,True,False,False,False,tc,13.212673664093018
17,1,True,False,False,False,tc,13.01236867904663
18,1,True,False,False,False,tc,13.060710430145264
19,1,True,False,False,False,tc,12.60143518447876
20,1,True,False,False,False,tc,12.683908939361572
21,1,True,False,False,False,tc,13.397259712219238
22,1,True,False,False,False,tc,12.629590034484863
23,1,True,False,False,False,tc,12.925488948822021
24,1,True,False,False,False,tc,12.464368343353271
25,1,True,False,False,False,tc,13.548269271850586
26,1,True,False,False,False,tc,13.40791940689087
27,1,True,False,False,False,tc,13.406352996826172
28,1,True,False,False,False,tc,14.257879257202148
29,1,True,False,False,False,tc,13.964102268218994
30,1,True,False,False,False,tc,14.079160690307617
31,1,True,False,False,False,tc,13.527638912200928
32,1,True,False,False,False,tc,14.552266597747803
33,1,True,False,False,False,tc,14.291369915008545
34,1,True,False,False,False,tc,14.325363636016846
35,1,True,False,False,False,tc,14.599425792694092
36,1,True,False,False,False,tc,14.330201148986816
37,1,True,False,False,False,tc,13.747985363006592
38,1,True,False,False,False,tc,14.622082710266113
39,1,True,False,False,False,tc,14.516727924346924
40,1,True,False,False,False,tc,13.686521053314209
41,1,True,False,False,False,tc,13.825883865356445
42,1,True,False,False,False,tc,13.977503776550293
43,1,True,False,False,False,tc,13.07762622833252
44,1,True,False,False,False,tc,12.499632835388184
45,1,True,False,False,False,tc,13.203902244567871
46,1,True,False,False,False,tc,13.087430000305176
47,1,True,False,False,False,tc,13.11539888381958
48,1,True,False,False,False,tc,12.891292572021484
49,1,True,False,False,False,tc,13.953635692596436
50,1,True,False,False,False,tc,13.824172019958496
51,1,True,False,False,False,tc,13.201065063476562
52,1,True,False,False,False,tc,13.559536933898926
53,1,True,False,False,False,tc,13.334782123565674
54,1,True,False,False,False,tc,13.552424907684326
55,1,True,False,False,False,tc,13.668045997619629
56,1,True,False,False,False,tc,13.422696590423584
